epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.425,0.67284,2.74632,1.46836,0.78012,0.7325,0.84805,0.77825,0.40529,2.80738,0.71939,0.00038341,0.00038341,0.00038341
2,423.645,0.24347,1.43091,0.9606,0.93038,0.65728,0.93184,0.80245,0.55038,2.41871,0.85625,0.000705924,0.000705924,0.000705924
3,604.159,0.20224,1.27357,0.91299,0.90419,0.90217,0.9307,0.91905,0.36801,1.44958,0.65359,0.000949223,0.000949223,0.000949223
4,778.177,0.2062,1.12105,0.93659,0.93776,0.96788,0.98398,0.9412,0.36691,1.16689,0.65644,0.00111331,0.00111331,0.00111331
5,952.187,0.18915,0.99873,0.90409,0.89006,0.94681,0.97411,0.9494,0.54347,1.22421,0.94082,0.00100687,0.00100687,0.00100687
6,1127,0.17268,0.92733,0.89843,0.7978,0.93,0.9602,0.95582,0.33907,1.33917,0.68159,0.000841835,0.000841835,0.000841835
7,1300.78,0.14965,0.77392,0.88507,0.97446,0.92535,0.98292,0.97988,0.25083,0.84288,0.58078,0.000676802,0.000676802,0.000676802
8,1474.69,0.12766,0.72692,0.87903,0.95513,0.92763,0.98895,0.98895,0.24222,0.8576,0.58223,0.000511769,0.000511769,0.000511769
9,1648.33,0.11335,0.65423,0.86013,0.96918,0.96649,0.98281,0.98232,0.21335,0.71497,0.5506,0.000346736,0.000346736,0.000346736
10,1822.1,0.09438,0.60342,0.86126,0.96258,0.96695,0.98526,0.98328,0.22529,0.65059,0.564,0.000181703,0.000181703,0.000181703
